date,articles
01/11/2014,2
04/11/2014,1
06/11/2014,24
07/11/2014,42
08/11/2014,27
10/11/2014,2
11/11/2014,3
12/11/2014,1
13/11/2014,1
15/11/2014,1
17/11/2014,9
18/11/2014,6
19/11/2014,1
20/11/2014,1
27/11/2014,3
28/11/2014,2
01/12/2014,1
04/12/2014,6
06/12/2014,1
08/12/2014,1
09/12/2014,2
10/12/2014,2
11/12/2014,10
12/12/2014,6
18/12/2014,2
19/12/2014,4
20/12/2014,2
21/12/2014,1
22/12/2014,3
23/12/2014,3
30/12/2014,1
08/01/2015,1
11/01/2015,1
12/01/2015,5
13/01/2015,13
14/01/2015,17
15/01/2015,7
16/01/2015,5
17/01/2015,3
20/01/2015,11
21/01/2015,8
22/01/2015,4
23/01/2015,5
24/01/2015,1
26/01/2015,6
27/01/2015,1
28/01/2015,5
29/01/2015,4
30/01/2015,1
02/02/2015,5
03/02/2015,7
04/02/2015,23
05/02/2015,27
06/02/2015,3
09/02/2015,1
10/02/2015,1
14/02/2015,1
18/02/2015,5
19/02/2015,2
20/02/2015,1
24/02/2015,2
25/02/2015,1
27/02/2015,3
28/02/2015,4
04/03/2015,1
05/03/2015,5
06/03/2015,2
08/03/2015,1
10/03/2015,4
11/03/2015,2
13/03/2015,2
14/03/2015,1
15/03/2015,5
16/03/2015,3
17/03/2015,1
18/03/2015,2
19/03/2015,6
20/03/2015,1
22/03/2015,1
23/03/2015,1
24/03/2015,1
25/03/2015,1
30/03/2015,15
31/03/2015,20
01/04/2015,6
02/04/2015,2
06/04/2015,1
07/04/2015,1
08/04/2015,1
09/04/2015,2
15/04/2015,1
17/04/2015,1
22/04/2015,2
23/04/2015,1
27/04/2015,2
28/04/2015,1
29/04/2015,2
30/04/2015,1
01/05/2015,3
19/05/2015,4
23/05/2015,1
24/05/2015,1
25/05/2015,3
26/05/2015,7
27/05/2015,4
28/05/2015,2
29/05/2015,23
30/05/2015,36
31/05/2015,6
01/06/2015,6
02/06/2015,1
03/06/2015,1
04/06/2015,1
05/06/2015,6
06/06/2015,2
07/06/2015,2
08/06/2015,4
09/06/2015,4
10/06/2015,4
17/06/2015,1
18/06/2015,4
20/06/2015,1
24/06/2015,4
25/06/2015,2
26/06/2015,2
28/06/2015,1
01/07/2015,8
02/07/2015,5
03/07/2015,2
06/07/2015,1
08/07/2015,1
14/07/2015,1
15/07/2015,5
17/07/2015,1
19/07/2015,1
20/07/2015,1
21/07/2015,1
22/07/2015,1
23/07/2015,2
24/07/2015,6
25/07/2015,7
06/08/2015,1
12/08/2015,1
13/08/2015,1
17/08/2015,1
18/08/2015,1
19/08/2015,2
26/08/2015,1
29/08/2015,1
30/08/2015,1
31/08/2015,2
01/09/2015,6
02/09/2015,2
03/09/2015,1
07/09/2015,1
14/09/2015,2
17/09/2015,1
18/09/2015,2
28/09/2015,1
03/10/2015,1
05/10/2015,3
07/10/2015,3
15/10/2015,1
19/10/2015,2
20/10/2015,6
22/10/2015,1
26/10/2015,1
05/11/2015,3
12/11/2015,4
13/11/2015,1
